company,date,open,close,high,low
Amazon,2021-09-02,3494.76001,3463.120117,3511.959961,3455
Amazon,2021-09-03,3452,3478.050049,3482.669922,3436.439941
Amazon,2021-09-07,3478,3509.290039,3528.090088,3476.939941
Amazon,2021-09-08,3511.649902,3525.5,3545.629883,3495.669922
Amazon,2021-09-09,3526.02002,3484.159912,3549.98999,3480.370117
Amazon,2021-09-10,3501.830078,3469.149902,3508.449951,3462.909912
Amazon,2021-09-13,3482.800049,3457.169922,3497.959961,3438
Amazon,2021-09-14,3475.550049,3450,3486.810059,3437.709961
Amazon,2021-09-15,3442.52002,3475.790039,3485.419922,3402.01001
Amazon,2021-09-16,3459.959961,3488.23999,3492.550049,3446.139893
Amazon,2021-09-17,3488.409912,3462.52002,3497.409912,3452.129883
Amazon,2021-09-20,3396,3355.72998,3419,3305.01001
Amazon,2021-09-21,3375,3343.629883,3379.699951,3332.389893
Amazon,2021-09-22,3351,3380.050049,3389,3341.050049
Amazon,2021-09-23,3380.050049,3416,3428.959961,3380.050049
Amazon,2021-09-24,3402.01001,3425.52002,3429.26001,3393.399902
Amazon,2021-09-27,3371.5,3405.800049,3415.570068,3339.610107
Amazon,2021-09-28,3357.709961,3315.959961,3369.189941,3290.100098
Amazon,2021-09-29,3322.110107,3301.120117,3351.300049,3297.870117
Amazon,2021-09-30,3316,3285.040039,3327.850098,3273.98999
Amazon,2021-10-01,3289.01001,3283.26001,3309.169922,3255.939941
Amazon,2021-10-04,3279.389893,3189.780029,3279.98999,3176.25
Amazon,2021-10-05,3204.5,3221,3260.72998,3202.459961
Amazon,2021-10-06,3213.530029,3262.01001,3264.340088,3198.620117
Amazon,2021-10-07,3291.540039,3302.429932,3325.75,3283.060059
Amazon,2021-10-08,3317,3288.620117,3321.429932,3288.199951
Amazon,2021-10-11,3275,3246.300049,3292.590088,3238.100098
Amazon,2021-10-12,3257,3247.330078,3267.530029,3236.280029
Amazon,2021-10-13,3269.709961,3284.280029,3288.379883,3261.090088
Amazon,2021-10-14,3302.449951,3299.860107,3312.600098,3290.780029
Amazon,2021-10-15,3311.419922,3409.02002,3410.419922,3304
Amazon,2021-10-18,3388.360107,3446.73999,3449.169922,3385.100098
Amazon,2021-10-19,3434.290039,3444.149902,3454.689941,3422
Amazon,2021-10-20,3452.659912,3415.060059,3462.860107,3400.370117
Amazon,2021-10-21,3414.25,3435.01001,3440.280029,3403
Amazon,2021-10-22,3421,3335.550049,3429.840088,3331.300049
Amazon,2021-10-25,3335,3320.370117,3347.800049,3297.699951
Amazon,2021-10-26,3349.51001,3376.070068,3416.120117,3343.97998
Amazon,2021-10-27,3388,3392.48999,3437,3371.449951
Amazon,2021-10-28,3402.100098,3446.570068,3479,3386
